,document,label,label2
0,몇년간 잘만 쓰고 있었는데요,0,0
1,최근 업뎃이후로 너무 불편해서 리뷰를 다 써보러 와요 ,0,0
3,대체 좋아요 랑 댓글 위치까진ㅋㅋㅋㅋㅋ왜 바꾸는건짘ㅋㅋㅋㅠㅠ너무 자주 바뀌는 설정들이 번거로운게 늘 해맵니다 ,0,0
5,저처럼 근데 이렇게 오래 사용하면서 제가 갈아타지 않은 이유는 고객센터에 문의하면 최대한으로 고객의 피드백을 받아 업데이트를 하려고 한다는 점입니다,0,0
6,이번에 안드로이드에서 로 바꾼 후 음질설정관련에서 이슈가 있었는데 문의하자마자 심각한 오류로 인지하셨는지 바로 업데이트 해주셨습니다,0,0
7,딱 하나 아직 어려운 업데이트셨는지 옛날에 버전 지니뮤직에서도 곡차트정보 뜨게해주길 바랬는데 그건 어려우셨나봐욬ㅋㅋ아쉽습니당 그래도 고생많으십니다라고 말하고 싶었습니당,0,0
10,저 폰기종이 아이폰인데 아직은 최신이고 이건 걍 시스템 문제라고 생각합니다,0,0
11,제발 이걸 보시면 반성좀 하세요,0,0
12,ㅋㅋㅋㅋㅋ관계자님ㅜㅜ이러다 또 나중에 바뀌면 진짜 답답해서 갈아타는거 말곤 답없어용ㅠㅠ,0,0
23,업데이트해주시면 감사하겠습니다ㅎㅎ,0,0
41,그게 임시파일 지우면 된다고 답글 달려서 해봤는데 잘 모르겠어요,0,0
45,다시 멜론으로 가고싶어져요,0,0
46,제발 이거 해주세요,0,0
47,스토리 공유기능,0,0
57,남아있던 일말의 긍정적인 평가마저 사라졌어요,0,0
71,그러니 제발 개선 해주세요ㅜㅜ,0,0
86,제가 설정을 못 하는 거면 어케하는지 알야주세요ㅠㅠ,0,0
87,제발요,0,0
88,제발요,0,0
92,아니 엄청 짜증나요,0,0
96,기술력이 없는 건 아닐텐데 왜 이렇게만 되는지 잘 모르겠네요,0,0
103,이러한 점을 방지 예방하기 위해서는 개발자 분들이 힘을 많이 쓰셔야 될 것 같네요,0,0
105,이는 휘발성에 가까운 지니뮤직의 이용 뿐만 아니라 더 큰 문제는 오럴마케팅에 있어 상당히 불리한 점으로 작용됩니다,0,0
106,예를 들어 주변 지인이 뮤직어플을 추천해달라고 했을 때 대부분 맴버십초특가라는 메리트가 아닌 이상 타사어플 멜ㄹ벅ㅅ정도를 추천들 해줍니다,0,0
107,지니를 오래라면 오래라고년이면 군대를 다녀오고도 년이니써왔나고 생각 저로썬 너무 안타까운 심정입니다,0,0
108,이와 더불어 다양하고 많은 곡의 보유끝판왕 최고의 스폰서를 등에 업은 멜ㄹ 세련된 스피커와 음질 다양한 이퀄라이저음질의 제공 오랜기간 유서깊고 한 때 위기를 넘어선 고퀄리티 음질의 벅ㅅ뮤직에 당장은 넘어서라는 말을 드리는 게 아닙니다,0,0
109,그들이 가지고 있는 것들을 최소 정도는 장착한 상태에서 게임을 해봐야 대등하게 싸워보지 않을까요서비스 부문은 아무리 친절해도 불만이 생기는 부분입니다,0,0
110,그래서 제안드리코자하는 건 멜ㄹ벅ㅅ를 뛰어넘은 고객서비스를 보여 지니는 도 좋은데 장착했다는 가정하에품질도 좋고 가격도 저렴하고 혜택이벤트도 많넹과 같은 맥락의 긍정적인 점을 피력할 수 있고 그런 평가를 받을 수 있다고 생각합니다,0,0
111,이 외에도 많은 개선사항이 있지만 일단 가장 개선되었으면 하고자하는 가지만 말씀드려봤네요,0,0
112,제발 지니를 오랫동안 쓰고 있는 유저로써 지금 무섭게 치고 올라오는 네이ㅂ바이브한테 뒤쳐지는 상황이 오진 않게끔 하셨으면 합니다,0,0
120,타사 어플도 별 반 다를 게 없는 상황이지만 지니만 유난히특히 저는 원체 진성 지니유저라 노상관였지만 엠넷에서 이사오신 유저분들고객센터에 대해 유저분들의 불만이 많은 상황입니다,0,0
129,사에서 발표한 소식을 보면 신곡은 기존위곡 보다 이용자수가 많아야 차트진입이 가능하다는 것인데 이게 과연 차트의 다양성에 큰 도움이 될지 의문입니다,0,0
130,차트에 진입할 기회조차 없어진다면 한 아티스트의 팬이 아니고서야 그 가수가 음원을 발매했다는 사실을 어떻게 알고 음원을 소비하겠습니까,0,0
131,물론 실시간 차트의 기이한 현상의 문제점은저도 명확히 인지하고있으나 실시간 차트를 유지시키는것이 소비자들에게 다양한 음악을 제공할수있는 방법입니다,0,0
132,새로 나온 인기있는 곡이 실시간차트에 있다는것을 인식한 대중들은 그날이 가수의 음원발매 일자라는 것을 몰랐더라도 해당음원을 더 편리하게 소비할 수 있습니다,0,0
133,지금도 그런 구조 이상적인 구조가 진행되고 있는 가수들이 존재하고 그들의 음악이 좋은 평을 받고있다는 점과 실시간 차트위에 신곡들만 모아놓은 페이지가 있지만 그것을 활용하기보단 실시간차트를 통해 새로운 곡이 발매했다는 것을 인식하는 경우가 훨씬 많다는 것을 고려해보면 실시간차트는 충분히 괜찮은 구조라고 생각합니다 ,0,0
134,특히나 비주류 뮤지션이나 라이징 아티스트들은 더욱 힘들어질것입니다,0,0
135,또한 그 당시엔 가치를 인정받지 못했으나 시간이 흘러 재평가되는 곡들이 순위권에서 다시 보이기 시작하는 역주행이 힘들어질것입니다,0,0
136,역주행 곡을 통해 여러 이용자들에게 다앙한 음원환경을 제공할 수 있는데 실시간 차트를 없애면 그것 또한 힘들어질것입니다,0,0
137,여러가지 복합적인 이유들을 고려해봤을때 실시간차트를 존속하는 것이 맞다고 생각합니다하지만 지금의 실시간 차트가 일부 유명아이돌들의 줄세우기 때문에 문제가 된다는 점을 알고있습니다,0,0
139,줄세우기에 가장 문제가 되는 수록곡들 중 일부곡들이 실시간 차트 순위에 비해 실이용자수가 낮은 경우가 허다합니다,0,0
145,사와 같은 방식으로 차트를 개혁하는 것은 오히려 이름이 알려진 몇몇 가수들에게만 기회가 돌아갈뿐 다른 가수들은 첫날 진입하지못하면 음원 발매 사실을 알수없어 차트에 진입하기힘들지고 결국 빛을 보지도 못한채 끝이 나게될것입니다,0,0
