,document,label,label2
225,데이터랑 와이파이를 연결 하고 있는데도 계속 네트워크가 불안전하다고 뜨고 혼자서 튕기더라고요이러면 쓰기가 너무 거북해지네요,0,5
315,저 아이폰 기종에 무제한 데이터인데 데이터 쓰면서 음악 듣는데 맨날 네트워크 연결이 불안정하다고 뜹니다,0,5
322,인스타 유튭 인터넷 카톡 전부 다 진짜 잘되는데 지니만 네트워크가 불안정한 건 대체 뭐가 문제인지 좀 알려주세요,0,5
399,어딜가나 네크워크는 멀쩡한데 음악이 안틀어지는 경우는 왜그런건지 사람 화나게 하는것도 한계네요 ,0,5
403,타사 어플 오래쓰다가 옮겼는데 지니뮤직 네트워크가 원할 하지 못하다면서 자꾸 끊기네요,0,5
404,저도 제 핸드폰 문제인 줄 알았는 밑에 같은 댓글이 있어서 봤더니 저도 다른 어플과 인터넷도 너무 잘 돌아갑니다,0,5
406,지금도 퇴근하고 집가면서 들으려니깐 네트워크문제로 자동로그인이 풀려있고 로근인 하려해도 네트워크 문제라고만 뜨면서 로그인이 안되네요,0,5
627,이번 업데이트 이후로 스트리밍 오류가 굉장히 심해서 리뷰 씁니다 와이파이가 잘 되는 환경에서 재생하다가 다음곡으로 넘어갈 때 오류로 서버 재접속합니다 라는 멘트가 계속 뜹니다,0,5
1254,제가 데이터도 빵빵하고 엄청 빠른데 네트워크 연결 문제는 아닌거같아서요,0,5
1258,네트워크가 안된다는데 다른앱은 다 잘되요 이상합니다 ,0,5
1314,근데 재생목록에서 곡 저장하면 저장곡으로 넘어갔을 때 당연히 와이파이나 데이터 없이 들을 수 있는 거 아닌가요 비행기 내에서 들으려고 곡들을 저장했는데 아무리 데이터 끄고 들으려 해도 네트워크 연결이 안돼있다고 나오네요,0,5
1562,잘사용하고 있었는데 갑자기 전원을 몇번씩 계속 껐다 키고 데이터를 껐다 켜도 계속 렉걸리면서 네트워크 문제 때문에 안된다고 합니다,0,5
1563,근데 지니앱을 제외한 다른 데이터 사용 앱에서는 모두 다 잘 돌아가는데 왜 지니만 네트워크 문제라며 로그인도 안되는건지 오류라면 수정부탁드려요,0,5
1574,노래 잘 듣고 있다가 갑자기 네트워크가 원활하지 않다고 다시 로그인 하라고 해서 했더니 자꾸 안되네요,0,5
1576,와이파이 문제도 아니고 데이터 문제도 아니고 앱 깔았다 지워도 보고 폰 껐다 켜보기도 했는데 도대체 왜 안 되는 건가요 노래 듣지 말라는 건가요,0,5
1599,돈은 돈대로 다 받아쳐먹으면서걸핏하면 네트워크 오류나서 재생멈추냐아니 뭐 이런일이 한두번이여야지관리의 문제냐,0,5
1712,포인트도 없고 내정보에서 휴대폰인증도 계속해보는데 안되네요 버퍼링도 너무 심해지고 네트워크가 문제가 있다고 계속 뜨네요 해결방법좀,0,5
1713,업데이트후 한곡 들으면 다음곡으로 넘어가지 않고 꺼집니다 네트워크 불량이라는 메세지가 떠요,0,5
1723,네트워크 문제가 있다는데 다른 것들은 잘되여 무슨 문제죠,0,5
1964,그리고 스트리밍 재접속 이딴거나 뜨고 다른 앱들은 잘돌아가니깐 와이파이 문제는 아닌거 같고 앱 문제인거 같은데 이거 빨리 해결좀요 답답해요 ㅠㅠ,0,5
